[2017-01-16 18:03:56,851] [DEBUG] [org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:506)] [Eagerly caching bean 'contracDao' to allow for resolving potential circular references] 
 [2017-01-16 18:03:56,857] [DEBUG] [org.springframework.beans.factory.annotation.InjectionMetadata.inject(InjectionMetadata.java:85)] [Processing injected method of bean 'contracDao': AutowiredMethodElement for public void jk.dao.impl.BaseDaoImpl.setSqlSessionFactory(org.apache.ibatis.session.SqlSessionFactory)] 
 [2017-01-16 18:03:56,858] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'sqlSessionFactory'] 
 [2017-01-16 18:03:56,858] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'] 
 [2017-01-16 18:03:56,858] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'] 
 [2017-01-16 18:03:56,870] [DEBUG] [org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.invokeInitMethods(AbstractAutowireCapableBeanFactory.java:1555)] [Invoking afterPropertiesSet() on bean with name 'contracDao'] 
 [2017-01-16 18:03:56,871] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'] 
 [2017-01-16 18:03:56,871] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'] 
 [2017-01-16 18:03:56,882] [DEBUG] [org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:460)] [Finished creating instance of bean 'contracDao'] 
 [2017-01-16 18:03:56,882] [DEBUG] [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:215)] [Creating shared instance of singleton bean 'factoryDao'] 
 [2017-01-16 18:03:56,882] [DEBUG] [org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:432)] [Creating instance of bean 'factoryDao'] 
